record_kind,sheet_id,global_id,ifc_class,object_name,type_name,type_description,container,installation_role,bbox_min_mm,bbox_max_mm,dimensions_mm,manufacturer,product_name,product_variant,candidate_use,dimension_status,review_status,human_review_required,basis,confidence,equipment_id,equipment_decision_status,equipment_procurement_status,equipment_source_ids,installation_requirement_count,blocking_requirement_count,stop_condition,source_ifc_sha256
existing_object,I-501,1rTw$leJL4QAm03neq4Ms_,IfcFurniture,Furniture,SB03,Sideboard Th16 H2383 L645,VVD,fixed_furniture,"[2537.607697,-1416.001839,0.0]","[3182.608134,-1400.001778,2383.0]","[645.000438,16.000061,2383.0]",,,,fixed_joinery_detail,existing_world_bbox_not_fabrication_dimension,existing_model_candidate,no,用户确认 SB03 为柜子侧板并固定安装,1.0,FURIFC-032,ifc_observed,existing,"[""IFC-FORMAL-001""]",1,0,Do not infer fabrication openings or service connection centres from this envelope.,60552c51c71de8e86f6a7f0b722cddbb901843b81ec8c5d56d52d659cb86b2a6
existing_object,I-501,1cnIoVZAb8rvfUR$FD624T,IfcFurniture,Furniture,CAB-A,Appliance Cabinet,VVD,fixed_furniture,"[2565.77359,-2676.407146,0.0]","[3182.77359,-2076.407146,2383.0]","[617.0,600.0,2383.0]",,,,fixed_joinery_detail,existing_world_bbox_not_fabrication_dimension,existing_model_candidate,no,类型与 VVD 中 617×600×2383 mm 全高几何共同识别为固定高柜,0.99,FURIFC-058,ifc_observed,existing,"[""IFC-FORMAL-001""]",1,0,Do not infer fabrication openings or service connection centres from this envelope.,60552c51c71de8e86f6a7f0b722cddbb901843b81ec8c5d56d52d659cb86b2a6
existing_object,I-501,24d7ofvFTBex9rCCHh3Tsm,IfcFurniture,Furniture,FRE02,Freezer Bottom,VVD,fixed_furniture,"[2565.77359,-2046.20533,0.0]","[3182.77359,-1446.20533,860.0]","[617.0,600.0,860.0]",,,,fixed_joinery_detail,existing_world_bbox_not_fabrication_dimension,existing_model_candidate,no,类型、VVD 容器与 617×600×860 mm 柜体包络共同证明安装位置受控,0.99,FURIFC-056,ifc_observed,existing,"[""IFC-FORMAL-001""]",1,0,Do not infer fabrication openings or service connection centres from this envelope.,60552c51c71de8e86f6a7f0b722cddbb901843b81ec8c5d56d52d659cb86b2a6
existing_object,I-501,3GQ9dmskr9YeZ2vmNXn9Vs,IfcFurniture,Furniture,FRE01,Freezer Top,VVD,fixed_furniture,"[2565.899902,-2046.0,860.0]","[3182.899902,-1446.0,2383.0]","[617.0,600.0,1523.0]",,,,fixed_joinery_detail,existing_world_bbox_not_fabrication_dimension,existing_model_candidate,no,类型、VVD 容器与 617×600×1523 mm 柜体包络共同证明安装位置受控,0.99,FURIFC-055,ifc_observed,existing,"[""IFC-FORMAL-001""]",1,0,Do not infer fabrication openings or service connection centres from this envelope.,60552c51c71de8e86f6a7f0b722cddbb901843b81ec8c5d56d52d659cb86b2a6
existing_object,I-501,1Ra2MgEgT6XeMGzuXIxbfl,IfcFurniture,Furniture,FRI02,Fridge Bottom,VVD,fixed_furniture,"[2565.750305,-3306.612633,0.0]","[3182.750305,-2706.612633,860.0]","[617.0,600.0,860.0]",,,,fixed_joinery_detail,existing_world_bbox_not_fabrication_dimension,existing_model_candidate,no,类型、VVD 容器与 617×600×860 mm 柜体包络共同证明安装位置受控,0.99,FURIFC-047,ifc_observed,existing,"[""IFC-FORMAL-001""]",1,0,Do not infer fabrication openings or service connection centres from this envelope.,60552c51c71de8e86f6a7f0b722cddbb901843b81ec8c5d56d52d659cb86b2a6
existing_object,I-501,0R_0Tg1w5C9RhW9jSCjiok,IfcFurniture,Furniture,FRI01,Fridge Top,VVD,fixed_furniture,"[2565.898865,-3306.0,860.0]","[3182.898865,-2706.0,2383.0]","[617.0,600.0,1523.0]",,,,fixed_joinery_detail,existing_world_bbox_not_fabrication_dimension,existing_model_candidate,no,类型、VVD 容器与 617×600×1523 mm 柜体包络共同证明安装位置受控,0.99,FURIFC-012,ifc_observed,existing,"[""IFC-FORMAL-001""]",1,0,Do not infer fabrication openings or service connection centres from this envelope.,60552c51c71de8e86f6a7f0b722cddbb901843b81ec8c5d56d52d659cb86b2a6
existing_object,I-501,3EDJXqkTT35fbtmsPhcnea,IfcFurniture,Furniture,H08,Freezer Handle,VVD,fixed_furniture,"[2584.77359,-2076.407265,60.0]","[2639.621124,-2028.20533,2383.0]","[54.847534,48.201935,2323.0]",,,,fixed_joinery_detail,existing_world_bbox_not_fabrication_dimension,existing_model_candidate,no,用户确认 H08 为柜子把手并固定安装,1.0,FURIFC-054,ifc_observed,existing,"[""IFC-FORMAL-001""]",1,0,Do not infer fabrication openings or service connection centres from this envelope.,60552c51c71de8e86f6a7f0b722cddbb901843b81ec8c5d56d52d659cb86b2a6
existing_object,I-501,3xZ8kydDnDhP1qEthmSe69,IfcFurniture,Furniture,H09,Fridge Handle,VVD,fixed_furniture,"[2584.77359,-2724.538269,60.0]","[2639.622589,-2676.338257,2383.0]","[54.848999,48.200012,2323.0]",,,,fixed_joinery_detail,existing_world_bbox_not_fabrication_dimension,existing_model_candidate,no,与已确认 H08 同系列且具有相同 55×48×2323 mm 柜门把手几何,0.99,FURIFC-064,ifc_observed,existing,"[""IFC-FORMAL-001""]",1,0,Do not infer fabrication openings or service connection centres from this envelope.,60552c51c71de8e86f6a7f0b722cddbb901843b81ec8c5d56d52d659cb86b2a6
existing_object,I-501,3Iw2dPDZD5Mfs_rhY0SbxO,IfcFurniture,Furniture,PAN01,Pantry D595 L300 H2382,VVD,fixed_furniture,"[2565.750763,-3636.382679,0.0]","[3182.750763,-3336.382679,2383.0]","[617.0,300.0,2383.0]",,,,fixed_joinery_detail,existing_world_bbox_not_fabrication_dimension,existing_model_candidate,no,类型、VVD 容器与 617×300×2383 mm 全高几何共同识别为固定柜体板件,0.99,FURIFC-007,ifc_observed,existing,"[""IFC-FORMAL-001""]",1,0,Do not infer fabrication openings or service connection centres from this envelope.,60552c51c71de8e86f6a7f0b722cddbb901843b81ec8c5d56d52d659cb86b2a6
existing_object,I-501,28x_EpoH5EIQqAq1LbXGvj,IfcFurniture,Furniture,HL,End Handle L,VVD,fixed_furniture,"[2575.834961,-1446.261216,60.0]","[2629.215149,-1416.238816,2383.0]","[53.380188,30.0224,2323.0]",,,,fixed_joinery_detail,existing_world_bbox_not_fabrication_dimension,existing_model_candidate,no,类型、VVD 容器与 53×30×2323 mm 全高条状几何共同识别为固定柜体五金,0.99,FURIFC-060,ifc_observed,existing,"[""IFC-FORMAL-001""]",1,0,Do not infer fabrication openings or service connection centres from this envelope.,60552c51c71de8e86f6a7f0b722cddbb901843b81ec8c5d56d52d659cb86b2a6
